Customer ID,Recency,Frequency,Monetary
12346,325,12,77556.46
12347,1,8,4921.53
12348,74,5,2019.3999999999999
12349,18,4,4428.6900000000005
12350,309,1,334.40000000000003
12351,374,1,300.93
12352,35,10,2849.84
12353,203,2,406.76
12354,231,1,1079.4
12355,213,2,947.61
12356,22,6,6371.7300000000005
12357,32,3,18287.66
12358,1,5,3887.07
12359,57,10,8873.39
12360,51,8,4252.89
12361,286,4,511.25
12362,2,11,5356.2300000000005
12363,109,2,552.0
12364,7,4,1313.1
12365,290,2,641.38
12366,633,1,500.24
12367,3,1,168.9
12368,627,1,917.7
12369,412,3,1791.15
12370,50,7,4316.56
12371,44,5,4067.38
12372,71,3,1298.04
12373,310,3,1127.65
12374,24,4,2989.2200000000003
12375,10,2,457.5
12376,389,2,503.15
12377,314,4,3426.32
12378,129,2,5416.32
12379,81,4,1620.22
12380,21,11,9676.300000000001
12381,4,5,1845.31
12383,184,5,1850.56
12384,28,2,585.27
12385,378,1,1938.4
12386,337,2,401.9
12387,414,1,143.94
12388,15,8,3901.11
12389,402,3,1433.33
12390,79,1,549.84
12391,21,6,2724.84
12392,590,1,234.75000000000003
12393,71,6,2399.45
12394,63,2,1272.48
12395,18,15,4721.17
12396,673,1,931.4300000000001
12397,35,2,2409.9
12398,45,1,1635.6599999999999
12399,118,7,1962.3
12400,413,1,205.25
12401,302,1,84.3
12402,322,6,1256.9
12403,49,2,1019.36
12404,681,1,63.24
12405,148,1,1710.39
12406,21,5,6390.36
12407,49,5,1708.12
12408,32,8,4340.77
12409,78,7,23419.29
12410,308,3,1013.71
12411,409,1,346.9
12412,74,6,2596.93
12413,66,4,999.45
12414,216,6,952.4100000000001
12415,23,28,144458.37
12416,656,1,202.56
12417,2,20,6797.41
12418,112,4,2021.2
12419,385,2,503.01
12420,63,1,600.39
12421,15,6,1098.6
12422,95,17,5231.8
12423,0,10,2622.39
12424,162,4,3340.0299999999997
12425,77,2,1741.41
12426,194,2,1345.21
12427,21,3,825.8000000000001
12428,25,9,7956.46
12429,8,8,6204.41
12430,42,1,256.4
12431,35,27,10432.220000000001
12432,42,5,5059.32
12433,0,10,16794.14
12434,84,3,1103.43
12435,79,6,13925.93
12436,99,1,509.01
12437,1,39,12683.4
12438,13,2,2906.85
12439,682,2,1142.88
12440,461,2,859.2
12441,366,1,173.55
12442,2,1,172.06
12443,731,1,485.31
12444,20,5,5005.46
12445,21,2,434.98
12446,57,1,1002.3100000000001
12447,242,1,476.49
12448,43,1,449.45
12449,21,6,4835.89
12450,155,5,688.2
12451,10,8,12669.88
12452,16,2,430.57000000000005
12453,133,1,707.09
12454,55,5,16679.78
